InstitutionID,University,City,State,Latitude,Longitude,Rank,Market Saturation Percentile,AE Percentile,aCFI Percentile,Collegiate Survivability Index (CSI),Endowment,Total Assets,Net Assets,Liabilities,CSI_Quantile,Quantile_Group,Quantile_Label
140696,Oglethorpe University,Atlanta,GA,38.8135329,-97.61005437482667,208,0.6238347411972418,0.5144210886751707,0.437570675136965,0.5274200728207571,55394131.06,130595461.448,134526315.847,-3930854.399000004,Strong,6,Strong
163462,Mount St. Mary's University,Emmitsburg,MD,37.24924525,-96.97401911330236,209,0.6016277128762199,0.5213161657243632,0.4555430067479779,0.5271103352080413,71321509.069,245071421.316,155782851.901,89288569.41500002,Strong,6,Strong
188182,University of the Southwest,Hobbs,NM,37.7433245,-87.12062019141567,210,0.2736592439904116,0.4966606972870946,0.7953188238781168,0.5270053983754782,16597476.096,16222202.788,13409927.901,2812274.887,Strong,6,Strong
161086,Colby College,Waterville,ME,37.1020748,-85.29968609783923,211,0.4845852848598529,0.5452698531482245,0.5599300703785068,0.5268691132252638,1369901768.402,2852213890.004,2291892559.994,560321330.0100002,Strong,6,Strong
147013,McKendree University,Lebanon,IL,36.8720992,-83.88792369909103,212,0.4662407527870877,0.7918313526487029,0.4535253251526827,0.5262375995601357,38765821.195,-121765730.152,74556916.734,-196322646.886,Healthy,5,Healthy
189097,Barnard College,New York,NY,32.4842248,-93.73171274297071,213,0.5501307432969874,0.5833316794428733,0.4726298814609861,0.5257517655257823,528864904.615,1244686038.673,775792498.991,468893539.682,Healthy,5,Healthy
232706,Marymount University,Arlington,VA,29.9962374,-90.0653677710487,214,0.5746369443222327,0.598398439349678,0.440446690731351,0.5256839276911481,-39286451.986,234822465.676,79658041.835,155164423.84100002,Healthy,5,Healthy
159656,Loyola University New Orleans,New Orleans,LA,41.89849465,-84.06083239910039,215,0.5529138558543936,0.6005736524352447,0.4587031992686646,0.524737944425297,232988813.607,942750069.667,344024116.867,598725952.8000001,Healthy,5,Healthy
186432,Saint Peter's University,Jersey City,NJ,42.2437255,-84.74290095493066,216,0.5326657427568584,0.6661108195383441,0.4454240610460659,0.5244272925848182,42989012.697,206903965.806,103389281.203,103514684.603,Healthy,5,Healthy
167996,Stonehill College,Easton,MA,42.20800175,-84.55633879411187,217,0.5425846346077613,0.5735213055112909,0.4798576720358934,0.5236655447001153,380113244.976,609998585.611,482616084.141,127382501.46999995,Healthy,5,Healthy
133492,Eckerd College,Saint Petersburg,FL,44.966511350000005,-93.16458641389622,218,0.6056411672495169,0.4627070696464435,0.4717186966332947,0.5234728683980504,92936720.648,249958790.351,204446180.189,45512610.162,Healthy,5,Healthy
191676,Houghton University,Houghton,NY,32.32196355,-90.1798225329653,219,0.2999385814091776,0.3861029603971685,0.8145914842239613,0.5231269324753535,89956948.343,145046456.127,115235829.883,29810626.244000003,Healthy,5,Healthy
217749,Bob Jones University,Greenville,SC,34.776232500000006,-89.44731846573404,220,0.5597918829976939,0.6026180427582621,0.4465453953311138,0.5230315879696661,22240535.199,164445724.437,97268705.474,67177018.963,Healthy,5,Healthy
148627,Saint Xavier University,Chicago,IL,41.2657787,-96.04838707482637,221,0.6244358707169086,0.5504847393822061,0.4077854744204765,0.5229495509652694,86551515.573,173137265.95,180485095.482,-7347829.532000005,Healthy,5,Healthy
147536,National Louis University,Chicago,IL,40.8383056,-96.64792960546532,222,0.6486406594932858,0.4014963687663219,0.4561025567266371,0.5221827670497527,100934774.345,188014013.959,148044902.702,39969111.257,Healthy,5,Healthy
228042,Schreiner University,Kerrville,TX,40.8470669,-74.8351007155218,223,0.4789378839623991,0.5639339231099648,0.5430844858716705,0.5216000622720879,76439716.079,145002864.424,143500083.197,1502781.226999998,Healthy,5,Healthy
204909,Ohio Wesleyan University,Delaware,OH,40.76053795,-74.42816053099715,224,0.3880162423276675,0.7194013841040511,0.5562610544901029,0.5215917059961732,345939913.02,540111274.431,489117858.291,50993416.13999999,Healthy,5,Healthy
