InstitutionID,University,City,State,Religion,Market_Saturation_Percentile,Academic_Efficiency_Percentile,aCFI_Percentile,Survivability,FullAddress,lat,lon,Quantile_Label,Quantile_Group,Rank,Universities_in_State
136215,Nova Southeastern University,Fort Lauderdale,FL,Not applicable,0.9987,0.9220999999999999,0.48960000000000004,0.7796,"Nova Southeastern University, Fort Lauderdale, FL",26.08757885,-80.14968855039686,Elite,7,25,30
136774,Ringling College of Art and Design,Sarasota,FL,Not applicable,0.6129,0.4329,0.4968,0.53046,"Ringling College of Art and Design, Sarasota, FL",27.36000665,-82.5464064763355,Strong,6,194,30
136950,Rollins College,Winter Park,FL,Not applicable,0.7256999999999999,0.4892,0.5028,0.58922,"Rollins College, Winter Park, FL",28.5925001,-81.3489577,Strong,6,132,30
137546,Stetson University,DeLand,FL,Not applicable,0.5044,0.5318999999999999,0.49920000000000003,0.50781,"Stetson University, DeLand, FL",29.03653465,-81.30054111521412,Healthy,5,249,30
137847,The University of Tampa,Tampa,FL,Not applicable,0.9987,0.7304,0.4976,0.7445,"The University of Tampa, Tampa, FL",,,Elite,7,46,30
138293,Webber International University,Babson Park,FL,Not applicable,0.4412,0.3936,0.44630000000000003,0.43372999999999995,"Webber International University, Babson Park, FL",,,Stable,3,517,30
139199,Brenau University,Gainesville,GA,Not applicable,0.3874,0.4753,0.498,0.44924,"Brenau University, Gainesville, GA",34.30369005,-83.82235377891529,Stable,3,434,26
140252,Life University,Marietta,GA,Not applicable,0.41369999999999996,0.4753,0.48210000000000003,0.45338999999999996,"Life University, Marietta, GA",33.9311113,-84.51740878177948,Secure,4,416,26
141060,Spelman College,Atlanta,GA,Not applicable,0.9107,0.47009999999999996,0.5824,0.69125,"Spelman College, Atlanta, GA",33.74508885,-84.41138326759426,Elite,7,77,26
141167,Thomas University,Thomasville,GA,Not applicable,0.4864,0.461,0.4968,0.48549,"Thomas University, Thomasville, GA",30.8151379,-83.96435262333654,Healthy,5,297,26
141644,Hawaii Pacific University,Honolulu,HI,Not applicable,0.5811999999999999,0.4172,0.4813,0.50844,"Hawaii Pacific University, Honolulu, HI",21.37952275,-157.7830819456748,Healthy,5,248,3
143048,School of the Art Institute of Chicago,Chicago,IL,Not applicable,0.5871,0.494,0.5394,0.5494,"School of the Art Institute of Chicago, Chicago, IL",41.8812522,-87.62697448192992,Strong,6,169,42
