InstitutionID,University,City,State,Latitude,Longitude,Rank,Market Saturation Percentile,AE Percentile,aCFI Percentile,Collegiate Survivability Index (CSI),Endowment,Total Assets,Net Assets,Liabilities,CSI_Quantile,Quantile_Group
144281,Columbia College Chicago,Chicago,IL,33.306609,-83.079571,87,0.9525653731261542,0.448265327066693,0.4332406849320477,0.6439220537035865,188906272.005,628283008.291,152841053.143,475441955.148,Elite,7
129525,University of Hartford,West Hartford,CT,33.164743,-113.393614,88,0.9420661607864839,0.44436776271584083,0.4448795333186692,0.6436021626995428,213098795.409,418641181.302,198085782.025,220555399.27699998,Elite,7
217402,Providence College,Providence,RI,31.391188,-112.488426,89,0.8319080588255268,0.6015795693853241,0.47558549790885946,0.6432651049075799,403791679.631,1434121297.281,793298087.021,640823210.2599999,Elite,7
110361,California Baptist University,Riverside,CA,44.143646,-88.676452,90,0.8250477591320591,0.6545031781140583,0.4447058529938329,0.6387430665500426,200790654.859,879756730.712,386591138.979,493165591.73300004,Elite,7
170301,Hope College,Holland,MI,43.145514,-116.36186,91,0.7939962138409742,0.5675779020054954,0.5153332737076928,0.6372142846637228,361717192.752,614345068.797,594073816.453,20271252.3440001,Elite,7
130697,Wesleyan University,Middletown,CT,34.720168,-115.440255,92,0.7645749219944786,0.541424125018962,0.5504694654479976,0.6342820739691711,2067888723.01,2882722590.297,2254450571.809,628272018.4879999,Elite,7
164739,Bentley University,Waltham,MA,39.83158,-120.871432,93,0.7784395349547663,0.637877777066586,0.48355270202020684,0.6323275290125083,404462823.158,806342077.337,694526761.137,111815316.20000005,Elite,7
179159,Saint Louis University,Saint Louis,MO,34.169604,-120.925481,94,0.9299895726994187,0.305544549113163,0.49491827422004975,0.6310474788330828,1940293988.733,3308893519.482,2511013162.98,797880356.5019999,Elite,7
226471,University of Mary Hardin-Baylor,Belton,TX,35.934479,-124.852835,95,0.8834372431720775,0.45566290975348983,0.46548114823339265,0.6306591247272402,144510282.54,414141599.888,423503452.788,-9361852.899999976,Elite,7
174844,St Olaf College,Northfield,MN,43.718214,-100.222296,96,0.7685658184989544,0.5749880373840647,0.5162305452452626,0.6288850436979605,886344578.208,1268245165.661,1111314642.612,156930523.04900002,Elite,7
231651,Regent University,Virginia Beach,VA,36.882778,-92.340384,97,0.6418317105858005,0.9145234238889965,0.4683588929789606,0.626918962468852,52200584.009,215858420.335,156396704.683,59461715.65200001,Elite,7
195030,University of Rochester,Rochester,NY,38.838985,-114.816759,98,0.8629057922601768,0.5040632410860454,0.4500097001957871,0.6259321502362991,3421576727.583,8465970756.11,4991061948.555,3474908807.5549994,Elite,7
192819,Marist College,Poughkeepsie,NY,33.973202,-108.980739,99,0.7587999969384177,0.6499263399421107,0.47990548551193885,0.6254225694319792,551067513.227,1258325652.278,841637356.409,416688295.8690001,Elite,7
198385,Davidson College,Davidson,NC,33.699413,-112.268807,100,0.6027696427001028,0.5708304815423484,0.6638559786441172,0.6208317560294622,1756852179.593,2125856762.678,2013253302.814,112603459.86400008,Elite,7
232609,University of Lynchburg,Lynchburg,VA,39.591402,-112.812198,101,0.5002011785571039,0.4610621083007662,0.8180874377832243,0.6195953593551554,163091063.495,263043528.445,217819920.869,45223607.576000005,Elite,7
181002,Creighton University,Omaha,NE,38.420522,-86.117429,102,0.779928272201601,0.5218314997334523,0.5079560818548592,0.619491456808452,894600886.318,2198668062.232,2012484937.406,186183124.82599998,Elite,7
229160,Texas Wesleyan University,Fort Worth,TX,37.580329,-111.172798,103,0.7694706349276214,0.41523105805557226,0.5703350893840734,0.6189640981843708,69181216.393,195211381.751,191672051.141,3539330.6099999845,Elite,7
166850,Merrimack College,North Andover,MA,33.941124,-86.335684,104,0.7648026156422487,0.6669995976308619,0.4449040041297032,0.6172283680144518,87664960.928,541891966.249,236100326.948,305791639.30099994,Elite,7
168342,Williams College,Williamstown,MA,38.76879,-100.028277,105,0.4926867215386633,0.5434339409062179,0.7584386651145425,0.6091850185093043,4486955830.355,6472382702.654,5151959977.823,1320422724.8310003,Elite,7
165662,Emerson College,Boston,MA,32.982565,-114.407864,106,0.728241254252252,0.6079868515270488,0.47493497775146215,0.6028292272918677,279832730.644,1239335208.994,684986908.594,554348300.4,Elite,7
136330,Palm Beach Atlantic University,West Palm Beach,FL,43.467343,-87.193829,107,0.7528807678920277,0.518364570273932,0.4885556996620178,0.6002180876825204,118945105.491,483330879.456,370186071.451,113144808.005,Strong,6
137564,Southeastern University,Lakeland,FL,35.991008,-74.184893,108,0.7110772912058301,0.7007770803360255,0.4369076253747945,0.5992955787873757,8537421.01,134630439.689,64281352.314,70349087.375,Strong,6
168005,Suffolk University,Boston,MA,32.982565,-114.407864,109,0.7549434482969565,0.5987941801038542,0.44396547001636366,0.5992758226772621,263605075.129,885646543.102,285680989.254,599965553.848,Strong,6
201654,Cedarville University,Cedarville,OH,33.289811,-81.669459,110,0.7141225340887216,0.6082437679986923,0.47795220518217,0.5984420031189228,56920085.868,492510857.265,416593059.796,75917797.46899998,Strong,6
134945,Jacksonville University,Jacksonville,FL,44.963064,-90.62181,111,0.7902609092116094,0.5298820902925003,0.4402973477521221,0.5981557660135927,73907909.018,429473751.439,113709220.349,315764531.09000003,Strong,6
217165,Bryant University,Smithfield,RI,37.642894,-88.634933,112,0.6730290224137303,0.682694890276002,0.4786433147593099,0.5971680691960993,253643851.285,732560643.617,498412631.401,234148012.21599996,Strong,6
